Statistical profiling result from isolate-0x108000000-v8.log, (10195 ticks, 81 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    144    1.4%          /usr/lib/system/libsystem_platform.dylib
    114    1.1%          /usr/lib/system/libsystem_pthread.dylib
    107    1.0%          /usr/lib/system/libsystem_malloc.dylib
     19    0.2%          /usr/lib/system/libsystem_kernel.dylib
     11    0.1%          /usr/lib/libc++abi.dylib
      4    0.0%          /usr/lib/system/libsystem_m.dylib
      1    0.0%          /usr/lib/libc++.1.dylib

 [JavaScript]:
   ticks  total  nonlib   name
    424    4.2%    4.3%  LazyCompile: *comb10MulTo /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:1036:42
    302    3.0%    3.1%  LazyCompile: *imulK /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:3031:41
    169    1.7%    1.7%  Builtin: CreateTypedArray
    163    1.6%    1.7%  LazyCompile: *BufferWriter.writeReverse /Users/ryan/dev/bsv/lib/encoding/bufferwriter.js:33:48
    146    1.4%    1.5%  LazyCompile: *redMul /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2880:41
    136    1.3%    1.4%  LazyCompile: *isub /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:922:37
    132    1.3%    1.3%  LazyCompile: *iushrn /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:1999:41
    116    1.1%    1.2%  LazyCompile: *split /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2997:41
    109    1.1%    1.1%  LazyCompile: *redSqr /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2892:41
     99    1.0%    1.0%  LazyCompile: *BufferWriter.concat /Users/ryan/dev/bsv/lib/encoding/bufferwriter.js:22:42
     95    0.9%    1.0%  Builtin: TypedArrayInitialize
     95    0.9%    1.0%  Builtin: ArrayForEach
     72    0.7%    0.7%  LazyCompile: *iadd /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:847:37
     71    0.7%    0.7%  LazyCompile: *reverse /Users/ryan/dev/bsv/lib/util/buffer.js:154:29
     69    0.7%    0.7%  LazyCompile: *BufferReader.readReverse /Users/ryan/dev/bsv/lib/encoding/bufferreader.js:192:47
     67    0.7%    0.7%  Stub: CallApiCallbackStub {1}
     62    0.6%    0.6%  Builtin: ArgumentsAdaptorTrampoline
     59    0.6%    0.6%  LazyCompile: *redISub /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2870:43
     56    0.5%    0.6%  LazyCompile: *<anonymous> /Users/ryan/dev/bsv/lib/transaction/transaction.js:274:32
     49    0.5%    0.5%  LazyCompile: *Transaction.fromBufferReader /Users/ryan/dev/bsv/lib/transaction/transaction.js:290:51
     46    0.5%    0.5%  LazyCompile: *<anonymous> /Users/ryan/dev/bsv/lib/transaction/sighash.js:47:32
     42    0.4%    0.4%  Builtin: InterpreterEntryTrampoline
     41    0.4%    0.4%  LazyCompile: *<anonymous> /Users/ryan/dev/bsv/lib/transaction/sighash.js:34:32
     41    0.4%    0.4%  Builtin: Construct {1}
     40    0.4%    0.4%  Builtin: GrowFastSmiOrObjectElements
     36    0.4%    0.4%  LazyCompile: *redIAdd /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2860:43
     34    0.3%    0.3%  LazyCompile: *_verify2 /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:3140:46
     34    0.3%    0.3%  Builtin: JSBuiltinsConstructStub
     33    0.3%    0.3%  LazyCompile: *ucmp /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2765:37
     31    0.3%    0.3%  LazyCompile: *redSub /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2865:41
     31    0.3%    0.3%  LazyCompile: *egcd /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2487:37
     29    0.3%    0.3%  LazyCompile: *mul /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:1873:35
     29    0.3%    0.3%  Builtin: CallFunction_ReceiverIsAny
     26    0.3%    0.3%  Builtin: CEntry_Return1_DontSaveFPRegs_ArgvOnStack_BuiltinExit
     25    0.2%    0.3%  Builtin: TypedArrayInitializeWithBuffer
     20    0.2%    0.2%  LazyCompile: *_wnafMulAdd /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/base.js:125:55
     20    0.2%    0.2%  LazyCompile: *BufferWriter.writeUInt32LE /Users/ryan/dev/bsv/lib/encoding/bufferwriter.js:75:49
     20    0.2%    0.2%  LazyCompile: *BufferWriter.write /Users/ryan/dev/bsv/lib/encoding/bufferwriter.js:26:41
     18    0.2%    0.2%  LazyCompile: *imod /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:3146:38
     18    0.2%    0.2%  LazyCompile: *GetPrevoutHash /Users/ryan/dev/bsv/lib/transaction/sighash.js:31:27
     18    0.2%    0.2%  Builtin: StringAdd_CheckNone_NotTenured
     18    0.2%    0.2%  Builtin: JSConstructStubGeneric
     18    0.2%    0.2%  Builtin: ConstructFunction
     17    0.2%    0.2%  LazyCompile: *BN /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:21:15
     17    0.2%    0.2%  Builtin: Call_ReceiverIsAny
     16    0.2%    0.2%  Builtin: FastNewObject
     15    0.1%    0.2%  LazyCompile: *mul /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:3209:36
     15    0.1%    0.2%  LazyCompile: *_invmp /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2569:41
     14    0.1%    0.1%  LazyCompile: *readUInt8 internal/buffer.js:137:19
     14    0.1%    0.1%  LazyCompile: *adjustOffset buffer.js:990:22
     13    0.1%    0.1%  LazyCompile: *redAdd /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2855:41
     13    0.1%    0.1%  LazyCompile: *isBuffer /Users/ryan/dev/bsv/lib/util/buffer.js:59:31
     12    0.1%    0.1%  LazyCompile: *strip /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:333:39
     12    0.1%    0.1%  Builtin: StoreIC
     12    0.1%    0.1%  Builtin: Divide
     10    0.1%    0.1%  LazyCompile: *concat buffer.js:455:32
     10    0.1%    0.1%  LazyCompile: *GetSequenceHash /Users/ryan/dev/bsv/lib/transaction/sighash.js:44:28
     10    0.1%    0.1%  LazyCompile: *BufferReader.readUInt32LE /Users/ryan/dev/bsv/lib/encoding/bufferreader.js:83:48
      9    0.1%    0.1%  LazyCompile: *getNAF /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/utils.js:15:16
      9    0.1%    0.1%  LazyCompile: *_zeroDbl /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/short.js:667:46
      9    0.1%    0.1%  LazyCompile: *<anonymous> /Users/ryan/dev/bsv/lib/transaction/transaction.js:533:45
      9    0.1%    0.1%  Builtin: GetProperty
      9    0.1%    0.1%  Builtin: AdaptorWithBuiltinExitFrame
      8    0.1%    0.1%  LazyCompile: *JPoint /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/short.js:490:16
      7    0.1%    0.1%  LazyCompile: *mulTo /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:1660:39
      6    0.1%    0.1%  LazyCompile: *negate /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/short.js:465:26
      6    0.1%    0.1%  LazyCompile: *mixedAdd /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/short.js:569:46
      6    0.1%    0.1%  LazyCompile: *innerOk assert.js:328:17
      6    0.1%    0.1%  LazyCompile: *getJSF /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/utils.js:45:16
      6    0.1%    0.1%  LazyCompile: *_fixedNafMul /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/base.js:51:57
      6    0.1%    0.1%  Builtin: RecordWrite
      5    0.0%    0.1%  LazyCompile: ~BN.toBuffer /Users/ryan/dev/bsv/lib/crypto/bn.js:105:34
      5    0.0%    0.1%  LazyCompile: *write buffer.js:896:40
      5    0.0%    0.1%  LazyCompile: *toArrayLike /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:524:51
      5    0.0%    0.1%  LazyCompile: *ireduce /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2955:47
      5    0.0%    0.1%  LazyCompile: *add /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/short.js:532:36
      5    0.0%    0.1%  LazyCompile: *BufferWriter.varintBufNum /Users/ryan/dev/bsv/lib/encoding/bufferwriter.js:106:38
      5    0.0%    0.1%  Builtin: KeyedLoadIC
      5    0.0%    0.1%  Builtin: ArraySome
      5    0.0%    0.1%  Builtin: Add {1}
      4    0.0%    0.0%  LazyCompile: ~divmod /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2328:41
      4    0.0%    0.0%  LazyCompile: ~comb10MulTo /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:1036:42
      4    0.0%    0.0%  LazyCompile: ~GetPrevoutHash /Users/ryan/dev/bsv/lib/transaction/sighash.js:31:27
      4    0.0%    0.0%  LazyCompile: *toString /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:429:45
      4    0.0%    0.0%  LazyCompile: *neg /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/short.js:458:35
      4    0.0%    0.0%  LazyCompile: *cmp /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2755:35
      4    0.0%    0.0%  LazyCompile: *Hash.hmac /Users/ryan/dev/bsv/lib/crypto/hash.node.js:118:22
      4    0.0%    0.0%  Builtin: LoadIC
      4    0.0%    0.0%  Builtin: GreaterThan
      3    0.0%    0.0%  LazyCompile: ~stringSlice buffer.js:589:21
      3    0.0%    0.0%  LazyCompile: ~sighash /Users/ryan/dev/bsv/lib/transaction/sighash.js:143:32
      3    0.0%    0.0%  LazyCompile: ~byteLength buffer.js:509:20
      3    0.0%    0.0%  LazyCompile: ~Script.toBuffer /Users/ryan/dev/bsv/lib/script/script.js:110:38
      3    0.0%    0.0%  LazyCompile: *stringSlice buffer.js:589:21
      3    0.0%    0.0%  LazyCompile: *redNeg /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2918:41
