Statistical profiling result from isolate-0x108000000-v8.log, (83088 ticks, 562 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   1483    1.8%          /usr/lib/system/libsystem_platform.dylib
   1123    1.4%          /usr/lib/system/libsystem_pthread.dylib
    915    1.1%          /usr/lib/system/libsystem_malloc.dylib
    173    0.2%          /usr/lib/libc++abi.dylib
     41    0.0%          /usr/lib/system/libsystem_kernel.dylib
     28    0.0%          /usr/lib/system/libsystem_m.dylib

 [JavaScript]:
   ticks  total  nonlib   name
   3024    3.6%    3.8%  LazyCompile: *BufferWriter.writeReverse /Users/ryan/dev/bsv/lib/encoding/bufferwriter.js:33:48
   1698    2.0%    2.1%  Builtin: CreateTypedArray
   1561    1.9%    2.0%  LazyCompile: *comb10MulTo /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:1036:42
   1008    1.2%    1.3%  Builtin: TypedArrayInitialize
    924    1.1%    1.2%  LazyCompile: *imulK /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:3031:41
    871    1.0%    1.1%  LazyCompile: *GetSequenceHash /Users/ryan/dev/bsv/lib/transaction/sighash.js:44:28
    670    0.8%    0.8%  LazyCompile: *BufferReader.readReverse /Users/ryan/dev/bsv/lib/encoding/bufferreader.js:192:47
    647    0.8%    0.8%  LazyCompile: *sighash /Users/ryan/dev/bsv/lib/transaction/sighash.js:143:32
    568    0.7%    0.7%  Stub: CallApiCallbackStub {1}
    562    0.7%    0.7%  LazyCompile: *GetPrevoutHash /Users/ryan/dev/bsv/lib/transaction/sighash.js:31:27
    554    0.7%    0.7%  LazyCompile: *Transaction.fromBufferReader /Users/ryan/dev/bsv/lib/transaction/transaction.js:290:51
    532    0.6%    0.7%  LazyCompile: *redMul /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2880:41
    520    0.6%    0.7%  LazyCompile: *isub /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:922:37
    446    0.5%    0.6%  LazyCompile: *iushrn /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:1999:41
    411    0.5%    0.5%  LazyCompile: *split /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2997:41
    411    0.5%    0.5%  LazyCompile: *Input.toBufferWriter /Users/ryan/dev/bsv/lib/transaction/input/input.js:104:43
    397    0.5%    0.5%  Builtin: ArgumentsAdaptorTrampoline
    378    0.5%    0.5%  LazyCompile: *BufferWriter.concat /Users/ryan/dev/bsv/lib/encoding/bufferwriter.js:22:42
    355    0.4%    0.4%  LazyCompile: *redSqr /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2892:41
    351    0.4%    0.4%  Builtin: CEntry_Return1_DontSaveFPRegs_ArgvOnStack_BuiltinExit
    313    0.4%    0.4%  Builtin: JSBuiltinsConstructStub
    311    0.4%    0.4%  Builtin: Construct {1}
    304    0.4%    0.4%  LazyCompile: *<anonymous> /Users/ryan/dev/bsv/lib/transaction/transaction.js:274:32
    302    0.4%    0.4%  Builtin: GrowFastSmiOrObjectElements
    239    0.3%    0.3%  Builtin: ArrayForEach
    231    0.3%    0.3%  LazyCompile: *<anonymous> /Users/ryan/dev/bsv/lib/transaction/sighash.js:47:32
    226    0.3%    0.3%  LazyCompile: *iadd /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:847:37
    221    0.3%    0.3%  LazyCompile: *reverse /Users/ryan/dev/bsv/lib/util/buffer.js:154:29
    221    0.3%    0.3%  LazyCompile: *redISub /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2870:43
    213    0.3%    0.3%  LazyCompile: *BufferWriter.writeUInt32LE /Users/ryan/dev/bsv/lib/encoding/bufferwriter.js:75:49
    209    0.3%    0.3%  LazyCompile: *checkInt internal/buffer.js:33:18
    200    0.2%    0.3%  Builtin: Divide
    199    0.2%    0.3%  Builtin: StringAdd_CheckNone_NotTenured
    167    0.2%    0.2%  LazyCompile: *redIAdd /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2860:43
    160    0.2%    0.2%  LazyCompile: *concat buffer.js:455:32
    145    0.2%    0.2%  LazyCompile: *<anonymous> /Users/ryan/dev/bsv/lib/transaction/sighash.js:34:32
    139    0.2%    0.2%  LazyCompile: *adjustOffset buffer.js:990:22
    134    0.2%    0.2%  LazyCompile: *BufferReader.readUInt32LE /Users/ryan/dev/bsv/lib/encoding/bufferreader.js:83:48
    134    0.2%    0.2%  Builtin: TypedArrayInitializeWithBuffer
    119    0.1%    0.2%  LazyCompile: *alloc buffer.js:277:30
    116    0.1%    0.1%  Builtin: ConstructFunction
    112    0.1%    0.1%  LazyCompile: *BufferWriter.writeVarintNum /Users/ryan/dev/bsv/lib/encoding/bufferwriter.js:94:50
    109    0.1%    0.1%  LazyCompile: *BufferWriter.write /Users/ryan/dev/bsv/lib/encoding/bufferwriter.js:26:41
    104    0.1%    0.1%  LazyCompile: *_invmp /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2569:41
     99    0.1%    0.1%  Builtin: AdaptorWithBuiltinExitFrame
     93    0.1%    0.1%  LazyCompile: *isBuffer /Users/ryan/dev/bsv/lib/util/buffer.js:59:31
     86    0.1%    0.1%  LazyCompile: *_verify2 /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:3140:46
     84    0.1%    0.1%  LazyCompile: *innerOk assert.js:328:17
     83    0.1%    0.1%  LazyCompile: *mul /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:1873:35
     81    0.1%    0.1%  Builtin: Call_ReceiverIsAny
     79    0.1%    0.1%  Builtin: InterpreterEntryTrampoline
     75    0.1%    0.1%  LazyCompile: *imod /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:3146:38
     73    0.1%    0.1%  Builtin: JSConstructStubGeneric
     66    0.1%    0.1%  LazyCompile: *redSub /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2865:41
     65    0.1%    0.1%  Builtin: CallFunction_ReceiverIsAny
     61    0.1%    0.1%  LazyCompile: *egcd /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2487:37
     60    0.1%    0.1%  Builtin: StringAdd_ConvertRight_NotTenured
     58    0.1%    0.1%  LazyCompile: *_wnafMulAdd /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/base.js:125:55
     54    0.1%    0.1%  LazyCompile: *<anonymous> /Users/ryan/dev/bsv/lib/transaction/transaction.js:533:45
     51    0.1%    0.1%  LazyCompile: *readUInt8 internal/buffer.js:137:19
     49    0.1%    0.1%  LazyCompile: *BN /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:21:15
     48    0.1%    0.1%  LazyCompile: *ucmp /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2765:37
     42    0.1%    0.1%  Builtin: ArrayBufferConstructor
     40    0.0%    0.1%  Builtin: FastNewObject
     38    0.0%    0.0%  LazyCompile: *mul /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:3209:36
     38    0.0%    0.0%  LazyCompile: *_normSign /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:340:47
     36    0.0%    0.0%  Builtin: StoreIC
     33    0.0%    0.0%  Builtin: NumberToString
     33    0.0%    0.0%  Builtin: Add {1}
     31    0.0%    0.0%  LazyCompile: *redAdd /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2855:41
     30    0.0%    0.0%  LazyCompile: *_.each /Users/ryan/dev/bsv/lib/util/_.js:18:10
     29    0.0%    0.0%  LazyCompile: *Transaction.toBufferWriter /Users/ryan/dev/bsv/lib/transaction/transaction.js:271:49
     28    0.0%    0.0%  LazyCompile: *cmp /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2755:35
     28    0.0%    0.0%  Builtin: GreaterThan
     27    0.0%    0.0%  LazyCompile: *strip /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:333:39
     26    0.0%    0.0%  LazyCompile: *BufferWriter.varintBufNum /Users/ryan/dev/bsv/lib/encoding/bufferwriter.js:106:38
     24    0.0%    0.0%  LazyCompile: *mulTo /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:1660:39
     22    0.0%    0.0%  LazyCompile: *_zeroDbl /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/short.js:667:46
     21    0.0%    0.0%  LazyCompile: *_wordDiv /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2250:45
     21    0.0%    0.0%  LazyCompile: *JPoint /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/short.js:490:16
     21    0.0%    0.0%  Builtin: ArraySome
     19    0.0%    0.0%  LazyCompile: *_fixedNafMul /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/base.js:51:57
